KEGG_Pathway;Holopig_colon01.featureCounts.tsv;Holopig_colon02.featureCounts.tsv;Holopig_colon03.featureCounts.tsv;Holopig_colon04.featureCounts.tsv;Holopig_colon05.featureCounts.tsv;Holopig_colon06.featureCounts.tsv;Holopig_colon07.featureCounts.tsv;Holopig_colon08.featureCounts.tsv;Holopig_colon09.featureCounts.tsv;Holopig_colon10.featureCounts.tsv;Holopig_colon11.featureCounts.tsv;Holopig_colon12.featureCounts.tsv;Holopig_colon13.featureCounts.tsv;Holopig_colon14.featureCounts.tsv;Holopig_colon15.featureCounts.tsv;Holopig_colon16.featureCounts.tsv;Holopig_colon17.featureCounts.tsv;Holopig_colon18.featureCounts.tsv;Holopig_colon19.featureCounts.tsv;Holopig_colon20.featureCounts.tsv;Holopig_colon21.featureCounts.tsv;Holopig_colon22.featureCounts.tsv;Holopig_colon23.featureCounts.tsv;Holopig_colon24.featureCounts.tsv;Holopig_colon25.featureCounts.tsv;Holopig_colon26.featureCounts.tsv;Holopig_colon27.featureCounts.tsv;Holopig_colon28.featureCounts.tsv;Holopig_colon29.featureCounts.tsv;Holopig_colon30.featureCounts.tsv;Holopig_colon31.featureCounts.tsv;Holopig_colon32.featureCounts.tsv;Holopig_colon33.featureCounts.tsv;Holopig_colon34.featureCounts.tsv
Unclassified;0.499914034793698;0.646969966403872;0.532705514139345;0.57270151767886;0.483626275343341;0.480049645383586;0.535398992219949;0.657634822290978;0.490853095924099;0.521713941061404;0.640287769336009;0.461999833565979;0.0781830962413716;0.264963062435229;0.497577474306715;0.458624302787863;0.317109923405995;0.606320623028671;0.633943888401486;0.565473622891178;0.604600048245752;0.62151981129113;0.518711937188073;0.50569941080236;0.490960441536439;0.549959123395155;0.379122834861193;0.526688631960169;0.500441232402341;0.410265344010821;0.565659917621719;0.561953748036268;0.478972212032372;0.486900133651479
ko00010;0.00797076183280649;0.00972359425652953;0.00817400405698573;0.00945301257362869;0.00775735435778216;0.00781416447898407;0.00829853388769333;0.010278268468112;0.00719953091340706;0.00836391700668936;0.00956542063468629;0.00628676654961173;0.0010982245433814;0.00379582337752403;0.00710288573472062;0.00679831457301274;0.00486301264482495;0.00941326339128922;0.0078347806377764;0.00788906593561109;0.00937147215770029;0.00987764228547003;0.00854115941118878;0.00859591602761512;0.00798900586905422;0.00913591074453458;0.00609758061084487;0.00712896050582425;0.00825129520762495;0.00577696276860351;0.00820832546047029;0.00667243665387256;0.00759124572045046;0.00700784240939146
ko00020;0.00301665725592082;0.00294750243693294;0.00313634085060394;0.00349773931531281;0.00331686265621606;0.00291980569781969;0.00326621072864624;0.00326603938555002;0.00296365369144913;0.00285680090853716;0.00347137475410706;0.00288893653136336;0.000411019070287522;0.00200164967684037;0.00369790014813715;0.00398488214213867;0.00219239965317763;0.00345483508564266;0.00443367110328172;0.00383768942870123;0.00345620522914821;0.00316892852471651;0.00417991920933408;0.00391107570228827;0.00355392894593977;0.00402748335812791;0.00341425182026343;0.00324003641614449;0.00374774516828559;0.00261669966803549;0.00359620190899964;0.00418362513381056;0.00342863088678913;0.00344032452290675
ko00030;0.00524637684713198;0.00721902176847964;0.00567540082998695;0.00635962732845717;0.00512244224305634;0.00501079134826779;0.00569875856381542;0.00679575453536048;0.00477134399314704;0.00553052943660658;0.0064437685879737;0.00458132023833133;0.000731798069380326;0.00253958323596202;0.00500001435334512;0.00447070046748444;0.00344897077778524;0.00655173819797507;0.00515694825447501;0.00520802714367451;0.00692051035997389;0.00691164226046983;0.00546570885933721;0.00565405140738962;0.00530921084772632;0.00622204347116279;0.00399359644492287;0.00473603297461875;0.00546074064366513;0.00384324512376326;0.00565610866511842;0.00423638534327147;0.00509278648868789;0.00453603825094292
ko00040;0.0020549598245876;0.00177908377867249;0.0022829788872305;0.00256130376121019;0.00228211690216287;0.00204991421480102;0.00227463246907936;0.00191348037258443;0.00211689549389223;0.00229251454397978;0.00235013161011113;0.00245905809853607;0.000258924752630963;0.00147593594616591;0.00314386102644705;0.00267467571987686;0.0018133937231809;0.00259633891578505;0.00356322484289294;0.00303820614036833;0.00238576329337895;0.00231020194373551;0.00275173257236038;0.00292028642735057;0.00235513587531137;0.00278787630797829;0.00219961196848365;0.0025013756098537;0.00308322566645442;0.00132350120137988;0.00247096465123971;0.00239554415524994;0.00217627611717951;0.00191702319749677
ko00051;0.00553449939814924;0.00649966971171915;0.00568381119428188;0.00679845526437868;0.00550762543178682;0.00563082524782306;0.00511600202314004;0.00750982553351871;0.0048805868007757;0.00481542630147338;0.007253475704239;0.00455482964217325;0.000737935544998245;0.00277515437324944;0.00558206907829091;0.00527148124147684;0.00351824781556637;0.00561053541680889;0.00581933662823427;0.00558163697873484;0.00619522691047447;0.0064820045774767;0.00630815408612533;0.00605273958883262;0.0053021967951635;0.00681687322782799;0.00453401141093274;0.00441969273044383;0.00626931059484823;0.00349651941228301;0.00563050374590374;0.00502476126005219;0.0050012352226319;0.0042263243795681
ko00052;0.00644507983352458;0.00774691026359241;0.00636200557027128;0.0073957933387159;0.00574141987418373;0.0062444584041606;0.00658588476267795;0.00843772618309495;0.00555652667297805;0.00620272887441247;0.00873073332503567;0.00514757956793107;0.000800940568138446;0.00313939925965595;0.00594829202103924;0.00511047590240053;0.00380931226313706;0.00734320417304663;0.00808275167000423;0.00707614156693896;0.00733217930649669;0.00785963786897026;0.0065303452844735;0.00673041911742028;0.00633997161565407;0.00685565172297603;0.00484539117694076;0.00577089176201449;0.00646155592053876;0.00428894242805539;0.00666117670014715;0.00729979302429305;0.00606351769282176;0.00514102711857021
ko00053;0.000621137519148832;0.000561435529418567;0.000500271669267354;0.000688711229698114;0.00057857613508337;0.000618509913074859;0.000742625498923017;0.000375626064634132;0.000629220870560233;0.00129016212616028;0.000609491800703158;0.000861492456437356;8.34313091810881e-05;0.000528794798530801;0.00111121471509195;0.000863195818412812;0.000710594081706381;0.000546126195307454;0.00102602260663582;0.000989354860115219;0.000487020848747627;0.000638236961096936;0.000844456300408209;0.00118934254183656;0.000765934539860159;0.000803179356437731;0.00093109162903083;0.000690105946969823;0.00128517691793054;0.000352513143648618;0.000789794826643004;0.000562775567583089;0.000624805914463598;0.000462503422669717
ko00061;0.00271844334223291;0.0024077497467608;0.0031435911646513;0.00314102185970418;0.00289902437398884;0.00259298679709553;0.0029025821083388;0.00204608120542143;0.00276482925279627;0.00269446427728566;0.00269437237980509;0.00258109753462983;0.000287598271533429;0.00146256724495873;0.00297986076829948;0.00279763760330645;0.00163271853605513;0.00342888791346742;0.00419538113190114;0.0033838245993824;0.00338267865687887;0.00296087803161794;0.00286331472160383;0.00265406123619998;0.0023791056375478;0.00303818810169298;0.00224831716918703;0.00297605271670441;0.00259534157347012;0.00210591000868115;0.00289191671889091;0.00321448063051622;0.00240839185164954;0.00250212579620552
ko00062;0;0;3.33514446178236e-06;9.05374252813781e-07;1.20202798147515e-06;1.98118242453448e-06;2.7350290209371e-06;0;3.41383773839572e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;1.23259350908473e-06;1.80759730889432e-06;1.58578579681192e-06;6.78493185631978e-07;4.02522319862636e-06;2.0008870599299e-06;0;3.44644836992746e-06;2.99823410007974e-07;0;8.09392332518515e-07;6.56312505562249e-07
