"metabolites";"genes";"value"
"N..1..acetylspermidine";"bhp";-0.639476936479114
"glucosamine.6.phosphate";"bhp";0.53650197248561
"glucose.6.phosphate";"bhp";0.504299190340492
"dihydroxyacetone.phosphate..DHAP.";"bhp";0.287950449689411
"behenate..22.0..";"bhp";0.399159586688783
"phosphate";"bhp";0.357223866817963
"uracil";"bhp";0.402411744556316
"ribose";"bhp";0.431509999160559
"glucose.1.phosphate";"bhp";0.531706243804837
"N.palmitoyl.sphingosine..d18.1.16.0.";"bhp";0.409087226494937
"N.stearoyl.sphingosine..d18.1.18.0..";"bhp";0.373998154766291
"palmitoylcarnitine..C16.";"bhp";-0.32481268599566
"X1.methyl.4.imidazoleacetate";"bhp";0.451704609506851
"delta.tocopherol";"bhp";0.442122303780929
"gamma.glutamyl.epsilon.lysine";"bhp";0.590632451236817
"N.acetylcitrulline";"bhp";-0.573279412595238
"glycerophosphoethanolamine";"bhp";0.348836722843799
"gamma.glutamylalanine";"bhp";0.346269229790484
"bilirubin..E.E..";"bhp";0.569469959225378
"X.16.or.17..methylstearate..a19.0.or.i19.0.";"bhp";0.55543433053392
"hydroxymethylpyrimidine";"bhp";-0.436473819063635
"N6.methyllysine";"bhp";-0.295261701131283
"sphingomyelin..d18.2.16.0..d18.1.16.1..";"bhp";-0.537674122114554
"N2.N5.diacetylornithine";"bhp";0.446570099938438
"glutamyl.meso.diaminopimelate";"bhp";0.482859860226869
"X1..1.enyl.palmitoyl..2.linoleoyl.GPC..P.16.0.18.2..";"bhp";0.426375013053928
"X1.oleoyl.2.docosahexaenoyl.GPC..18.1.22.6..";"bhp";0.409087226494937
"X2.acetamidobutanoate";"bhp";-0.392869932398967
"gamma.glutamyl.alpha.lysine";"bhp";0.428600173700134
"N.palmitoyl.sphingadienine..d18.2.16.0..";"bhp";0.456329098675942
"sphingomyelin..d18.0.20.0..d16.0.22.0..";"bhp";0.418330201486872
"linolenoylcarnitine..C18.3..";"bhp";0.554578499516148
"eicosenoylcarnitine..C20.1..";"bhp";0.463175746818116
"X5.dodecenoylcarnitine..C12.1.";"bhp";0.479607702359336
"N.palmitoyl.phytosphingosine..t18.0.16.0.";"bhp";0.414393378805122
"X3.indoleglyoxylic.acid";"bhp";-0.472418721810052
"val.val.ala";"bhp";0.37040366449165
"biopterin";"bhp";-0.403096616153009
"N..1..acetylspermidine";"cglB";-0.257282746504613
"glucosamine.6.phosphate";"cglB";0.186808352874844
"glucose.6.phosphate";"cglB";0.266720773731577
"dihydroxyacetone.phosphate..DHAP.";"cglB";-0.00887860417587911
"behenate..22.0..";"cglB";0.00887181884498666
"phosphate";"cglB";0.1330772826748
"uracil";"cglB";-0.00887181884498666
"ribose";"cglB";0.1330772826748
"glucose.1.phosphate";"cglB";0.186450687693461
"N.palmitoyl.sphingosine..d18.1.16.0.";"cglB";0.221795471124667
"N.stearoyl.sphingosine..d18.1.18.0..";"cglB";0.18630819574472
"palmitoylcarnitine..C16.";"cglB";0.239557410309018
"X1.methyl.4.imidazoleacetate";"cglB";0.180169668958027
"delta.tocopherol";"cglB";0.0443590942249333
"gamma.glutamyl.epsilon.lysine";"cglB";0.150936270989945
"N.acetylcitrulline";"cglB";-0.257302403665241
"glycerophosphoethanolamine";"cglB";0.1330772826748
"gamma.glutamylalanine";"cglB";0.168564558054747
"bilirubin..E.E..";"cglB";0.221795471124667
"X.16.or.17..methylstearate..a19.0.or.i19.0.";"cglB";0.150820920364773
"hydroxymethylpyrimidine";"cglB";-0.00887181884498666
"N6.methyllysine";"cglB";-0.07984636960488
"sphingomyelin..d18.2.16.0..d18.1.16.1..";"cglB";0.00887249667811177
"N2.N5.diacetylornithine";"cglB";0.222390896279576
"glutamyl.meso.diaminopimelate";"cglB";0.18630819574472
"X1..1.enyl.palmitoyl..2.linoleoyl.GPC..P.16.0.18.2..";"cglB";-0.00887181884498666
"X1.oleoyl.2.docosahexaenoyl.GPC..18.1.22.6..";"cglB";0.150820920364773
"X2.acetamidobutanoate";"cglB";-0.186450687693461
"gamma.glutamyl.alpha.lysine";"cglB";0.00887181884498666
"N.palmitoyl.sphingadienine..d18.2.16.0..";"cglB";0.221795471124667
"sphingomyelin..d18.0.20.0..d16.0.22.0..";"cglB";0.0621027319149066
"linolenoylcarnitine..C18.3..";"cglB";0.07984636960488
"eicosenoylcarnitine..C20.1..";"cglB";0.07984636960488
"X5.dodecenoylcarnitine..C12.1.";"cglB";0.0443590942249333
"N.palmitoyl.phytosphingosine..t18.0.16.0.";"cglB";0.02661545653496
"X3.indoleglyoxylic.acid";"cglB";-0.0621027319149066
"val.val.ala";"cglB";0.168564558054747
"biopterin";"cglB";-0.176274306331442
"mevalonate";"chiA";-0.425494654987967
"mevalonate.5.diphosphate";"chiA";0.0498093238336257
"S.1.pyrroline.5.carboxylate";"chiA";-0.223388770040659
"putrescine";"chiA";-0.149748209493772
"spermidine";"chiA";-0.211282231726537
"X1.methyladenine";"chiA";-0.294561359560354
"X1.methylnicotinamide";"chiA";0.053518639333082
"alpha.ketoglutarate";"chiA";-0.47453680804566
"kynurenate";"chiA";0.209123143227142
"X3.hydroxy.3.methylglutarate";"chiA";0.162085858061745
"cholate";"chiA";-0.17797058059301
"X4.hydroxyphenylacetate";"chiA";-0.15530015134936
"hypoxanthine";"chiA";-0.0414853433098091
"guanine";"chiA";0.350543439937532
"linoleate..18.2n6.";"chiA";-0.134634589998005
"laurate..12.0.";"chiA";-0.13232128089151
"quinolinate";"chiA";0.0542898012831264
"N..1..acetylspermidine";"chiA";-0.160235210776549
"N6.N6.N6.trimethyllysine";"chiA";-0.207580937156145
"N.acetylputrescine";"chiA";-0.226241630615204
"N.formylmethionine";"chiA";-0.126769339035922
"glycolate..hydroxyacetate.";"chiA";0.185953424801751
"AMP";"chiA";-0.112889484396953
"X2..deoxyadenosine";"chiA";0.345240875821818
"X5.methylthioadenosine..MTA.";"chiA";-0.14621230572842
"arachidonate..20.4n6.";"chiA";-0.12754044207142
"arginine";"chiA";0.0382467105607162
"argininosuccinate";"chiA";-0.309852871527844
"aspartate";"chiA";-0.075259656264635
"X3..4.hydroxyphenyl.lactate..HPLA.";"chiA";-0.413465447634194
"phenylpyruvate";"chiA";-0.22902517211338
"beta.alanine";"chiA";-0.242743235574868
"biliverdin";"chiA";0.318952582538368
"succinate";"chiA";0.0388635929891148
"X3.hydroxybutyrate..BHBA.";"chiA";-0.07757296537113
"cholesterol";"chiA";0.0144967370673682
"phosphocholine";"chiA";-0.290860064989962
"creatinine";"chiA";-0.300575963237241
"cysteinylglycine";"chiA";-0.449356711232775
"cystine";"chiA";-0.371825883717285
"CMP";"chiA";-0.0365502838826199
"glucosamine.6.phosphate";"chiA";0.146980209063808
"glucose.6.phosphate";"chiA";0.14069260136808
"sphingosine";"chiA";0.158230342884253
"dCMP";"chiA";0.0618897617050808
"desmosterol";"chiA";-0.0530518888422837
"dihydroxyacetone.phosphate..DHAP.";"chiA";-0.102094956029703
"cystathionine";"chiA";0.000776099435733518
"sphinganine";"chiA";0.067548625909652
"behenate..22.0..";"chiA";0.181363433949202
"FAD";"chiA";-0.0276139281356257
"fumarate";"chiA";0.0746427738362364
"gamma.glutamylglutamate";"chiA";0.0291476947418361
"gluconate";"chiA";-0.225162086365506
"glutarate..C5.DC.";"chiA";-0.131550177856012
"glycine";"chiA";-0.290243182561564
"guanidinoacetate";"chiA";-0.0997807327934813
"X5...GMP";"chiA";0.105641115863268
"X2..deoxyguanosine";"chiA";0.0741801120149374
"histamine";"chiA";-0.189705839710925
"histidine";"chiA";-0.4106894767064
"inosine";"chiA";-0.259399061141631
"myo.inositol";"chiA";-0.357791808471216
"isoleucine";"chiA";-0.401127799066221
"X2.aminoadipate";"chiA";-0.107645983755564
"X3.sulfo.L.alanine";"chiA";0.140494973067792
"citrulline";"chiA";-0.222386115437713
"saccharopine";"chiA";-0.055673639162978
"lanosterol";"chiA";0.125227132964926
"leucine";"chiA";-0.384163532285258
"lithocholate";"chiA";0.161593180927596
"lysine";"chiA";0.182905640020199
"malate";"chiA";-0.0997807327934813
"methionine";"chiA";-0.454488129122704
"methylmalonate..MMA.";"chiA";-0.231242765458052
"palmitate..16.0.";"chiA";0.214983526296929
"nicotinamide";"chiA";0.133092383927008
"stearate..18.0.";"chiA";0.0768018623356317
"ornithine";"chiA";-0.221615012402214
"orotate";"chiA";-0.142037179138789
"palmitoleate..16.1n7.";"chiA";-0.105486895256169
"phenylalanine";"chiA";-0.392799886282839
"phosphate";"chiA";-0.0362418426684206
"phytosphingosine";"chiA";0.295178241988753
"proline";"chiA";-0.292556491668059
"lactate";"chiA";-0.334967158620466
"pyridoxal";"chiA";0.263254576319123
"pyridoxamine.phosphate";"chiA";0.105266331728586
"retinol..Vitamin.A.";"chiA";0.179899849203029
"riboflavin..Vitamin.B2.";"chiA";0.296103565631351
"serine";"chiA";-0.317848671232403
"serotonin";"chiA";0.249142424240422
"spermine";"chiA";-0.215115789932672
"taurine";"chiA";-0.306282125699929
"myristate..14.0.";"chiA";0.125844015393324
"thiamin.monophosphate";"chiA";0.0957632034039624
"uridine";"chiA";-0.226087410008104
"X2..deoxyuridine";"chiA";-0.235186425826985
"trans.urocanate";"chiA";-0.126306677214623
"glutamate";"chiA";-0.451403716980711
"glutamine";"chiA";-0.253076016250545
"threonine";"chiA";-0.342832409582549
"tryptophan";"chiA";-0.40590863788631
"valine";"chiA";-0.397734945710028
"nicotinate";"chiA";0.163319622918542
"pyridoxamine";"chiA";0.0380924899536165
"glucose";"chiA";-0.215137746904028
"adenosine";"chiA";0.184139404876996
"betaine";"chiA";-0.362572647291305
"cysteine";"chiA";0.144042047031084
"mannose";"chiA";-0.0209804146728776
"dimethylglycine";"chiA";-0.0559820803771773
"alanine";"chiA";-0.419017389489782
"tyrosine";"chiA";-0.454179687908505
"malonate";"chiA";-0.00848213339048141
"pseudouridine";"chiA";-0.120137852930637
"pyruvate";"chiA";-0.125728220282318
"uracil";"chiA";-0.0103327806756774
"cytidine";"chiA";0.0616882428398648
"UMP";"chiA";-0.0603002573759678
