"root";"kingdom";"phylum";"class";"order";"family";"genus";"species";"abond34";"piglet";"group";"abund"
"root";"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"None";0.00447896756402255;"1";"Control";0.00153702332883227
"root";"Bacteria";"Actinobacteria";"Actinomycetia";"Bifidobacteriales";"Bifidobacteriaceae";"Bifidobacterium";"None";1.36553889147029e-05;"1";"Control";5.25927571884438e-06
"root";"Bacteria";"Actinobacteria";"Actinomycetia";"Micrococcales";"Micrococcaceae";"Rothia";"None";0.00550349079719053;"1";"Control";2.54198326410812e-05
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Atopobiaceae";"Atopobium";"None";1.10719369578672e-05;"1";"Control";1.75309190628146e-06
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Atopobiaceae";"None";"None";1.14410015231295e-05;"1";"Control";2.05988298988072e-05
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"Coriobacteriaceae";"Collinsella";"None";0.000339539400041261;"1";"Control";0.000181006739323561
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"Coriobacteriales";"None";"None";"None";9.8171174359756e-05;"1";"Control";6.83705843449769e-05
"root";"Bacteria";"Actinobacteria";"Coriobacteriia";"None";"None";"None";"None";0.00159694237388972;"1";"Control";0.000105185514376888
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides fragilis";0.00141388634951964;"1";"Control";0.000394445678913328
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides pyogenes";0.000895719699891458;"1";"Control";0.000102994149494036
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides sp.";0.000122160371101802;"1";"Control";2.32284677582293e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides sp. CAG:709";5.53596847893361e-06;"1";"Control";0.000657409464855547
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides thetaiotaomicron";0.000236570386333096;"1";"Control";6.74940383918362e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"Bacteroides uniformis";3.57992628304373e-05;"1";"Control";2.98025624067848e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides";"None";0.00298979204318941;"1";"Control";0.00333087462193477
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"None";"Bacteroidaceae bacterium";0.0021874456783093;"1";"Control";0.00313146041759526
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"None";"None";0.00165156392954853;"1";"Control";0.00389230230492141
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Phocaeicola";"None";0.0171585497681721;"1";"Control";0.0658237800781265
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Phocaeicola";"Phocaeicola vulgatus";0.00486353284102581;"1";"Control";0.00773069703372467
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"None";"Muribaculaceae bacterium";0.00996326700381945;"1";"Control";0.000941410353673144
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Muribaculaceae";"None";"None";0.000663578088341509;"1";"Control";0.000218259942332042
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"None";"None";"Bacteroidales bacterium";0.000415935765050545;"1";"Control";0.000512779382587327
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"None";"None";"None";0.192087403346604;"1";"Control";0.108410765211469
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Odoribacteraceae";"Butyricimonas";"Butyricimonas virosa";0.00218966006570087;"1";"Control";0.000389186403194484
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Odoribacteraceae";"Butyricimonas";"None";0.00588547262223695;"1";"Control";0.00104791068697974
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Paludibacteraceae";"None";"Paludibacteraceae bacterium";0;"1";"Control";7.18767681575399e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Alloprevotella";"None";5.42524910935494e-05;"1";"Control";0.000251130415574819
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"None";"None";0.00101418942534064;"1";"Control";0.0021887352449924
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Paraprevotella";"None";9.22661413155602e-06;"1";"Control";9.33521440094877e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"None";0.0500001291725978;"1";"Control";0.0186835769911947
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella copri";7.75035587050705e-06;"1";"Control";3.11173813364959e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella pectinovora";6.64316217472033e-06;"1";"Control";0.000678008294754355
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp.";0.000415197635920021;"1";"Control";0.0013073682891094
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp. CAG:520";3.0632358916766e-05;"1";"Control";1.40247352502517e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp. CAG:891";0.000112933756970246;"1";"Control";4.38272976570365e-06
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella sp. Marseille-P4119";0;"1";"Control";0.000203358661128649
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotella";"Prevotella stercorea";3.24776817430772e-05;"1";"Control";9.51052359157692e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotellamassilia";"None";9.74330452292315e-05;"1";"Control";9.59817818689099e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotellamassilia";"Prevotellamassilia sp.";0.00359948670500263;"1";"Control";0.0016829682300302
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Prevotellaceae";"Prevotellamassilia";"Prevotellamassilia timonensis";3.57992628304373e-05;"1";"Control";0.000140685625479087
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes";"Alistipes sp. CAG:435";8.85754956629378e-06;"1";"Control";0.00394971606485213
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes";"Alistipes sp. CAG:514";0;"1";"Control";1.13950973908295e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes";"None";0.0057345252150447;"1";"Control";0.0226543301589222
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"None";"None";5.42524910935494e-05;"1";"Control";0.00014375353631508
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"None";"None";1.18100660883917e-05;"1";"Control";1.66543731096739e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"Parabacteroides";"None";0.0247837927510552;"1";"Control";0.00178683892547738
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"Parabacteroides";"Parabacteroides distasonis";4.1335231309371e-05;"1";"Control";7.75743168529546e-05
"root";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Tannerellaceae";"Parabacteroides";"Parabacteroides merdae";0.000268679003510911;"1";"Control";0.000138055987619665
