"metabolites";"genes";"value"
"mevalonate";"bhp";-0.273352427076324
"mevalonate.5.diphosphate";"bhp";0.255853484547139
"S.1.pyrroline.5.carboxylate";"bhp";0.109045667305167
"putrescine";"bhp";-0.287216889564227
"spermidine";"bhp";-0.235011197480146
"X1.methyladenine";"bhp";0.134707802197287
"X1.methylnicotinamide";"bhp";-0.139425524502485
"alpha.ketoglutarate";"bhp";-0.142239115153679
"kynurenate";"bhp";-0.132996140161743
"X3.hydroxy.3.methylglutarate";"bhp";0.269073271987465
"cholate";"bhp";-0.348494390436691
"X4.hydroxyphenylacetate";"bhp";-0.238263355347679
"hypoxanthine";"bhp";0.172706699386356
"guanine";"bhp";0.432708162585439
"linoleate..18.2n6.";"bhp";-0.054602018933843
"laurate..12.0.";"bhp";-0.106123046203707
"quinolinate";"bhp";0.0138655217737278
"N..1..acetylspermidine";"bhp";-0.639476936479114
"N6.N6.N6.trimethyllysine";"bhp";-0.068124149014638
"N.acetylputrescine";"bhp";-0.300567853441468
"N.formylmethionine";"bhp";0.071889805492834
"glycolate..hydroxyacetate.";"bhp";-0.0676180487467778
"AMP";"bhp";0.110059868885458
"X2..deoxyadenosine";"bhp";0.311826832955831
"X5.methylthioadenosine..MTA.";"bhp";-0.178882348809204
"arachidonate..20.4n6.";"bhp";0.00393682268175044
"arginine";"bhp";0.228678047948634
"argininosuccinate";"bhp";-0.110581815627508
"aspartate";"bhp";0.068124149014638
"X3..4.hydroxyphenyl.lactate..HPLA.";"bhp";-0.233299535444602
"phenylpyruvate";"bhp";-0.0364649836787372
"beta.alanine";"bhp";-0.373826988562737
"biliverdin";"bhp";0.17614348031069
"succinate";"bhp";0.00838714397416397
"X3.hydroxybutyrate..BHBA.";"bhp";-0.308612665008523
"cholesterol";"bhp";0.0898622568660425
"phosphocholine";"bhp";-0.0852407693700746
"creatinine";"bhp";-0.315288146947144
"cysteinylglycine";"bhp";-0.114340824014088
"cystine";"bhp";-0.162436727173094
"CMP";"bhp";0.0184859499838716
"glucosamine.6.phosphate";"bhp";0.53650197248561
"glucose.6.phosphate";"bhp";0.504299190340492
"sphingosine";"bhp";0.119131677673839
"dCMP";"bhp";-0.104148645693731
"desmosterol";"bhp";0.0077024791599465
