"regne";"phylum";"classe";"ordre";"famille";"genre";"espece";"abond1";"abond2";"abond3";"abond4";"abond5";"abond6";"abond7";"abond8";"abond9";"abond10";"abond11";"abond12";"abond13";"abond14";"abond15";"abond16";"abond17";"abond18";"abond19";"abond20";"abond21";"abond22";"abond23";"abond24";"abond25";"abond26";"abond27";"abond28";"abond29";"abond30";"abond31";"abond32";"abond33";"abond34"
"Archaea";"Candidatus Thermoplasmatota";"Thermoplasmata";"Methanomassiliicoccales";"Candidatus Methanomethylophilaceae";NA;NA;0.000106500333306599;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.96949335034794e-06;0.00013453870553025;0;0;0;1.03053553114755e-05;0;0;0;0;0;0
"Archaea";"Candidatus Thermoplasmatota";"Thermoplasmata";NA;NA;NA;NA;0.000117895430697428;0;0;1.10736358451889e-05;5.50351858288066e-05;0;3.22578070544166e-05;0;0.000150282087811864;0;0;0;0;0;0;0;0;0;0;0;0;0;8.30791112528995e-06;0.000186662220248867;6.69414790543635e-05;0;1.61215915235152e-05;0;0.000107341881874802;4.33986036759659e-05;0;0;3.34554355350254e-05;7.78726232703328e-05
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter olleyae";3.06791083599255e-06;0;0;0;0;0;0;0;0;3.950341572868e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter ruminantium";2.62963785942219e-06;0;0;0;0;0;0;1.55448613818076e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter smithii";0.000137617714643095;0;3.99889841666258e-05;7.70895418453533e-05;5.06990802786582e-05;0.000170479879002999;4.65576596661683e-06;1.80320392028968e-05;3.85043972596363e-05;0.00023702049437208;0;0;0;0;0;0;0;7.62071761031715e-06;0;0;0;0;0;6.82244957049951e-06;0;0;0;0;1.37962920277958e-05;4.2009848358335e-05;2.68442386737051e-05;1.71641827642181e-05;2.98057516584772e-05;0.000272000584598271
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";"Methanobrevibacter sp.";0.000183198104206413;0;0;1.27772721290641e-05;0.000230814233900207;0;5.45389727517971e-05;8.70512237381226e-06;0.000196257487524863;0.000840105974496595;0;0;0;0;0;0;0;0;0;0;0;0;0;8.45983746741939e-06;0.000237017677034589;4.10150710167289e-05;3.28632442594733e-05;0;2.11991804329546e-05;1.73594414703864e-06;1.2632582905273e-06;0;0.00064781888808731;4.83474580493535e-05
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanobrevibacter";NA;0.00153702332883227;7.92324536129999e-06;8.75230596854451e-05;0.000328375893716947;0.0010650142324326;0.0014743131727299;0.00111638616785234;4.13493312756082e-05;0.000248267158450192;0.00472790047246085;0;0;0;0;0;0;0;4.35469577732408e-05;0;0;0;0;0.00102419928352574;0.00318308207161225;0.00139231870549913;0.000939591732517037;0.00187413501460864;0;0.000260110578963077;0.0050370155370473;0.000340132294724475;3.10589973828708e-05;0.00041028529578863;0.00447896756402255
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanosphaera";"Methanosphaera cuniculi";0.000110444790095732;0;0;5.53681792259443e-06;0;0;2.39439392568865e-05;7.7724306909038e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanosphaera";"Methanosphaera sp.";3.94445678913328e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.76874318808081e-05;0;0;0;0;0
"Archaea";"Euryarchaeota";"Methanobacteria";"Methanobacteriales";"Methanobacteriaceae";"Methanosphaera";"Methanosphaera sp. SHI1033";3.94445678913328e-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
