"ind";"values";"regne";"type";"genre"
"1";0.00186353669637719;"Archaea";"Control";"Methanobrevibacter"
"1";0.000342729467678025;"Archaea";"Control";"Methanosphaera"
"1";2.62963785942219e-06;"Bacteria";"Control";"Arcanobacterium"
"1";5.25927571884438e-06;"Bacteria";"Control";"Aeriscardovia"
"1";1.84074650159553e-05;"Bacteria";"Control";"Bifidobacterium"
"1";1.57778271565331e-05;"Bacteria";"Control";"Corynebacterium"
"1";2.10371028753775e-05;"Bacteria";"Control";"Cellulomonas"
"1";2.71729245473627e-05;"Bacteria";"Control";"Rothia"
"1";4.38272976570365e-06;"Bacteria";"Control";"Atopobium"
"1";7.01236762512584e-06;"Bacteria";"Control";"Olsenella"
"1";0.000184512923136124;"Bacteria";"Control";"Collinsella"
"1";4.38272976570365e-06;"Bacteria";"Control";"Senegalimassilia"
"1";3.06791083599255e-06;"Bacteria";"Control";"Adlercreutzia"
"1";4.51421165867476e-05;"Bacteria";"Control";"Ellagibacter"
"1";2.62963785942219e-06;"Bacteria";"Control";"Gordonibacter"
"1";0.00547841220712956;"Bacteria";"Control";"Bacteroides"
"1";0.0735544771118512;"Bacteria";"Control";"Phocaeicola"
"1";6.13582167198511e-06;"Bacteria";"Control";"Petrimonas"
"1";8.85311412672137e-05;"Bacteria";"Control";"Sodaliphilus"
"1";2.49815596645108e-05;"Bacteria";"Control";"Candidatus Cryptobacteroides"
"1";0.00143928845505708;"Bacteria";"Control";"Butyricimonas"
"1";5.69754869541474e-06;"Bacteria";"Control";"Paludibacter"
"1";0.000458871806469172;"Bacteria";"Control";"Alloprevotella"
"1";6.13582167198511e-06;"Bacteria";"Control";"Candidatus Caccomonas"
"1";6.13582167198511e-06;"Bacteria";"Control";"Hallella"
"1";9.68583278220506e-05;"Bacteria";"Control";"Paraprevotella"
"1";0.0214613511166977;"Bacteria";"Control";"Prevotella"
"1";0.0019196356373782;"Bacteria";"Control";"Prevotellamassilia"
"1";4.82100274227401e-06;"Bacteria";"Control";"Pseudoprevotella"
"1";0.0268319481715909;"Bacteria";"Control";"Alistipes"
"1";0.00203840761402877;"Bacteria";"Control";"Parabacteroides"
"1";1.31481892971109e-06;"Bacteria";"Control";"Chlamydia"
"1";8.7654595314073e-06;"Bacteria";"Control";"Fibrobacter"
"1";2.62963785942219e-06;"Bacteria";"Control";"Gemella"
"1";3.41852921724885e-05;"Bacteria";"Control";"Caryophanon"
"1";2.93642894302145e-05;"Bacteria";"Control";"Granulicatella"
"1";1.92840109690961e-05;"Bacteria";"Control";"Enterococcus"
"1";0.187430944614129;"Bacteria";"Control";"Lactobacillus"
"1";0.00533947967355675;"Bacteria";"Control";"Ligilactobacillus"
"1";0.0671416669186737;"Bacteria";"Control";"Limosilactobacillus"
"1";0.00581369103420589;"Bacteria";"Control";"Streptococcus"
"1";6.57409464855547e-06;"Bacteria";"Control";"Christensenella"
"1";3.2432200266207e-05;"Bacteria";"Control";"Butyricicoccus"
"1";4.38272976570365e-07;"Bacteria";"Control";"Candidatus Coprocola"
"1";0.0290298871490912;"Bacteria";"Control";"Clostridium"
"1";1.66543731096739e-05;"Bacteria";"Control";"Hungatella"
"1";3.50618381256292e-06;"Bacteria";"Control";"Lactonifactor"
"1";3.06791083599255e-06;"Bacteria";"Control";"Paraclostridium"
"1";2.19136488285182e-06;"Bacteria";"Control";"Sarcina"
"1";3.63766570553403e-05;"Bacteria";"Control";"Desulfotomaculum"
"1";1.40247352502517e-05;"Bacteria";"Control";"Candidatus Copromorpha"
"1";0.000510588017704475;"Bacteria";"Control";"Eubacterium"
"1";8.7654595314073e-06;"Bacteria";"Control";"Intestinibacillus"
"1";2.62963785942219e-06;"Bacteria";"Control";"Anaerovorax"
"1";0.00106763297092541;"Bacteria";"Control";"Hornefia"
"1";0.0011342504633641;"Bacteria";"Control";"Mogibacterium"
"1";5.69754869541474e-06;"Bacteria";"Control";"Acetatifactor"
"1";0.000121401614509991;"Bacteria";"Control";"Anaerobutyricum"
"1";6.004339779014e-05;"Bacteria";"Control";"Anaerotignum"
"1";1.22716433439702e-05;"Bacteria";"Control";"Bariatricus"
"1";0.000115265792838006;"Bacteria";"Control";"Blautia"
"1";5.25927571884438e-06;"Bacteria";"Control";"Candidatus Choladousia"
"1";3.50618381256292e-06;"Bacteria";"Control";"Candidatus Fimousia"
"1";3.94445678913328e-06;"Bacteria";"Control";"Candidatus Galacturonibacter"
"1";1.75309190628146e-06;"Bacteria";"Control";"Candidatus Pullilachnospira"
"1";2.05988298988072e-05;"Bacteria";"Control";"Catenibacillus"
"1";2.32284677582293e-05;"Bacteria";"Control";"Cellulosilyticum"
"1";7.18767681575399e-05;"Bacteria";"Control";"Coprococcus"
"1";5.47841220712956e-05;"Bacteria";"Control";"Diplocloster"
"1";0.00507958379845053;"Bacteria";"Control";"Dorea"
"1";0.000221327853168035;"Bacteria";"Control";"Eisenbergiella"
"1";0.00194154928620672;"Bacteria";"Control";"Enterocloster"
"1";0.00121533096402963;"Bacteria";"Control";"Faecalicatena"
"1";0.000247185958785686;"Bacteria";"Control";"Faecalimonas"
"1";6.57409464855547e-06;"Bacteria";"Control";"Frisingicoccus"
"1";4.38272976570365e-07;"Bacteria";"Control";"Fusicatenibacter"
"1";0.00267171206517294;"Bacteria";"Control";"Lachnoclostridium"
"1";3.50618381256292e-06;"Bacteria";"Control";"Lachnospira"
"1";4.82100274227401e-06;"Bacteria";"Control";"Marvinbryantia"
