Code_function;Definition_function
1;Oxidoreductases [EC1]
1.1;Oxidoreductases,Acting on the CH-OH group of donors [EC1.1]
1.1.1;Oxidoreductases,Acting on the CH-OH group of donors,With NAD+ or NADP+ as acceptor [EC1.1.1]
1.1.2;Oxidoreductases,Acting on the CH-OH group of donors,With a cytochrome as acceptor [EC1.1.2]
1.1.3;Oxidoreductases,Acting on the CH-OH group of donors,With oxygen as acceptor [EC1.1.3]
1.1.4;Oxidoreductases,Acting on the CH-OH group of donors,With a disulfide as acceptor [EC1.1.4]
1.1.5;Oxidoreductases,Acting on the CH-OH group of donors,With a quinone or similar compound as acceptor [EC1.1.5]
1.1.7;Oxidoreductases,Acting on the CH-OH group of donors,With an iron-sulfur protein as acceptor [EC1.1.7]
1.1.9;Oxidoreductases,Acting on the CH-OH group of donors,With a copper protein as acceptor [EC1.1.9]
1.1.98;Oxidoreductases,Acting on the CH-OH group of donors,With other, known, physiological acceptors [EC1.1.98]
1.1.99;Oxidoreductases,Acting on the CH-OH group of donors,With unknown physiological acceptors [EC1.1.99]
1.2;Oxidoreductases,Acting on the aldehyde or oxo group of donors [EC1.2]
1.2.1;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With NAD+ or NADP+ as acceptor [EC1.2.1]
1.2.2;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a cytochrome as acceptor [EC1.2.2]
1.2.3;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With oxygen as acceptor [EC1.2.3]
1.2.4;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a disulfide as acceptor [EC1.2.4]
1.2.5;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With a quinone or similar compound as acceptor [EC1.2.5]
1.2.7;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With an iron-sulfur protein as acceptor [EC1.2.7]
1.2.98;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With other, known, physiological acceptors [EC1.2.98]
1.2.99;Oxidoreductases,Acting on the aldehyde or oxo group of donors,With unknown physiological acceptors [EC1.2.99]
1.3;Oxidoreductases,Acting on the CH-CH group of donors [EC1.3]
1.3.1;Oxidoreductases,Acting on the CH-CH group of donors,With NAD+ or NADP+ as acceptor [EC1.3.1]
1.3.2;Oxidoreductases,Acting on the CH-CH group of donors,With a cytochrome as acceptor [EC1.3.2]
1.3.3;Oxidoreductases,Acting on the CH-CH group of donors,With oxygen as acceptor [EC1.3.3]
1.3.4;Oxidoreductases,Acting on the CH-CH group of donors,With a disulfide as acceptor [EC1.3.4]
1.3.5;Oxidoreductases,Acting on the CH-CH group of donors,With a quinone or related compound as acceptor [EC1.3.5]
