Code_function;Definition_function
1.1.1.1;alcohol dehydrogenase [EC 1.1.1.1]
1.1.1.2;alcohol dehydrogenase (NADP+) [EC 1.1.1.2]
1.1.1.3;homoserine dehydrogenase [EC 1.1.1.3]
1.1.1.4;(R,R)-butanediol dehydrogenase [EC 1.1.1.4]
1.1.1.5;acetoin dehydrogenase. Now EC 1.1.1.303, diacetyl reductase [(R)-acetoin forming] and EC 1.1.1.304, diacetyl reductase [(S)-acetoin forming] [EC 1.1.1.5]
1.1.1.6;glycerol dehydrogenase [EC 1.1.1.6]
1.1.1.7;propanediol-phosphate dehydrogenase [EC 1.1.1.7]
1.1.1.8;glycerol-3-phosphate dehydrogenase (NAD+) [EC 1.1.1.8]
1.1.1.9;D-xylulose reductase [EC 1.1.1.9]
1.1.1.10;L-xylulose reductase [EC 1.1.1.10]
1.1.1.11;D-arabinitol 4-dehydrogenase [EC 1.1.1.11]
1.1.1.12;L-arabinitol 4-dehydrogenase [EC 1.1.1.12]
1.1.1.13;L-arabinitol 2-dehydrogenase [EC 1.1.1.13]
1.1.1.14;L-iditol 2-dehydrogenase [EC 1.1.1.14]
1.1.1.15;D-iditol 2-dehydrogenase [EC 1.1.1.15]
1.1.1.16;galactitol 2-dehydrogenase [EC 1.1.1.16]
1.1.1.17;mannitol-1-phosphate 5-dehydrogenase [EC 1.1.1.17]
1.1.1.18;inositol 2-dehydrogenase [EC 1.1.1.18]
1.1.1.19;glucuronate reductase [EC 1.1.1.19]
1.1.1.20;glucuronolactone reductase [EC 1.1.1.20]
1.1.1.21;aldose reductase [EC 1.1.1.21]
1.1.1.22;UDP-glucose 6-dehydrogenase [EC 1.1.1.22]
1.1.1.23;histidinol dehydrogenase [EC 1.1.1.23]
1.1.1.24;quinate/shikimate dehydrogenase (NAD+) [EC 1.1.1.24]
1.1.1.25;shikimate dehydrogenase (NADP+) [EC 1.1.1.25]
1.1.1.26;glyoxylate reductase [EC 1.1.1.26]
1.1.1.27;L-lactate dehydrogenase [EC 1.1.1.27]
1.1.1.28;D-lactate dehydrogenase [EC 1.1.1.28]
1.1.1.29;glycerate dehydrogenase [EC 1.1.1.29]
1.1.1.30;3-hydroxybutyrate dehydrogenase [EC 1.1.1.30]
1.1.1.31;3-hydroxyisobutyrate dehydrogenase [EC 1.1.1.31]
